# 任务文件格式说明
# dt= 采样周期(秒)
# init: 纬度(deg), 经度(deg), 海拔(m), 横滚, 俯仰, 航向(deg), vn, ve, vd(m/s)
# 以下每行 9 个数: gx,gy,gz, ax,ay,az, mx,my,mz

dt=0.01

init: 39.9042, 116.4074, 50.0, 0, 0, 0, 0, 0, 0

# 静止 1 帧
0, 0, 0, 0, 0, -9.81, 20, 0, 35
# 以 3deg/s 右转，共 10 帧（0.1s）
0, 0, 0.05236, 0, 0, -9.81, 20, 0, 35
0, 0, 0.05236, 0, 0, -9.81, 19.8, 0.5, 35
0, 0, 0.05236, 0, 0, -9.81, 19.2, 1.0, 35
0, 0, 0.05236, 0, 0, -9.81, 18.5, 1.5, 35
0, 0, 0.05236, 0, 0, -9.81, 17.5, 2.0, 35
0, 0, 0.05236, 0, 0, -9.81, 16.5, 2.5, 35
0, 0, 0.05236, 0, 0, -9.81, 15.5, 3.0, 35
0, 0, 0.05236, 0, 0, -9.81, 14.0, 3.5, 35
0, 0, 0.05236, 0, 0, -9.81, 12.5, 4.0, 35
0, 0, 0.05236, 0, 0, -9.81, 11.0, 4.5, 35
